Brand,Price,Location,Rating,Sold
Lenovo,Rp3.500.000,Jakarta Barat,4.8,50+ terjual
Asus,Rp5.899.000,Jakarta Pusat,5.0,30+ terjual
Dell,Rp2.300.000,Jakarta Barat,4.7,500+ terjual
Lenovo,Rp3.490.000,Jakarta Utara,5.0,1rb+ terjual
Asus,Rp5.959.000,Surabaya,5.0,40+ terjual
Dell,Rp3.400.000,Jakarta Barat,4.8,100+ terjual
Lenovo,Rp2.550.000,Jakarta Pusat,4.9,2rb+ terjual
Lenovo,Rp2.000.000,Jakarta Barat,4.8,250+ terjual
Lenovo,Rp1.730.000,Jakarta Barat,5.0,40+ terjual
Lenovo,Rp2.000.000,Jakarta Barat,4.8,1rb+ terjual
Asus,Rp7.499.000,Jakarta Utara,5.0,70+ terjual
Lenovo,Rp2.475.000,Jakarta Barat,4.9,250+ terjual
Msi,Rp5.299.000,Jakarta Utara,5.0,16 terjual
Asus,Rp9.849.000,Jakarta Utara,4.9,250+ terjual
Apple,Rp15.999.000,Jakarta Utara,5.0,250+ terjual
Dell,Rp2.350.000,Bogor,5.0,18 terjual
Apple,Rp5.450.000,Jakarta Pusat,5.0,16 terjual
Hp,Rp3.250.000,Jakarta Barat,4.9,100+ terjual
Asus,Rp4.899.000,Surabaya,5.0,9 terjual
Dell,Rp2.300.000,Bogor,5.0,5 terjual
Apple,Rp4.500.000,Tangerang,4.9,30+ terjual
Asus,Rp1.345.000,Jakarta Barat,4.7,250+ terjual
Lenovo,Rp3.712.500,Jakarta Barat,4.8,30+ terjual
Lenovo,Rp2.100.000,Bandung,4.9,750+ terjual
Lenovo,Rp9.949.000,Jakarta Utara,4.9,100+ terjual
Lenovo,Rp5.579.000,Jakarta Utara,5.0,1rb+ terjual
Asus,Rp5.049.000,Bandung,5.0,6 terjual
Asus,Rp7.499.000,Jakarta Utara,4.8,500+ terjual
Lenovo,Rp3.300.000,Jakarta Barat,4.8,70+ terjual
Apple,Rp4.450.000,Jakarta Pusat,5.0,17 terjual
Lenovo,Rp4.290.000,Jakarta Utara,4.9,100+ terjual
Lenovo,Rp11.449.000,Jakarta Utara,4.9,750+ terjual
Axioo,Rp6.399.000,Jakarta Utara,5.0,250+ terjual
Asus,Rp13.399.000,Jakarta Utara,5.0,30+ terjual
Asus,Rp8.149.000,Jakarta Pusat,4.9,100+ terjual
Hp,Rp11.299.000,Jakarta Utara,4.9,100+ terjual
Lenovo,Rp14.299.000,Jakarta Barat,4.8,8 terjual
Lenovo,Rp6.949.000,Jakarta Utara,5.0,100+ terjual
Apple,Rp5.650.000,Jakarta Pusat,5.0,30+ terjual
Msi,Rp9.599.000,Jakarta Selatan,4.9,27 terjual
Hp,Rp11.699.000,Jakarta Selatan,5.0,24 terjual
Acer,Rp1.500.000,Jakarta Pusat,4.9,80+ terjual
Apple,Rp3.970.000,Jakarta Selatan,5.0,28 terjual
Dell,Rp1.500.000,Jakarta Barat,4.9,60+ terjual
Asus,Rp6.949.000,Jakarta Pusat,5.0,21 terjual
Asus,Rp5.700.000,Tangerang,0,0 terjual
Dell,Rp2.300.000,Jakarta Barat,4.6,100+ terjual
