Brand,Price (Rp),Location,Rating,Sold
Lenovo,3500000,Jakarta Barat,4.8,50
Asus,5899000,Jakarta Pusat,5.0,30
Dell,2300000,Jakarta Barat,4.7,500
Lenovo,3490000,Jakarta Utara,5.0,1000
Asus,5959000,Surabaya,5.0,40
Dell,3400000,Jakarta Barat,4.8,100
Lenovo,2550000,Jakarta Pusat,4.9,2000
Lenovo,2000000,Jakarta Barat,4.8,250
Lenovo,1730000,Jakarta Barat,5.0,40
Lenovo,2000000,Jakarta Barat,4.8,1000
Asus,7499000,Jakarta Utara,5.0,70
Lenovo,2475000,Jakarta Barat,4.9,250
Msi,5299000,Jakarta Utara,5.0,16
Asus,9849000,Jakarta Utara,4.9,250
Apple,15999000,Jakarta Utara,5.0,250
Dell,2350000,Bogor,5.0,18
Apple,5450000,Jakarta Pusat,5.0,16
Hp,3250000,Jakarta Barat,4.9,100
Asus,4899000,Surabaya,5.0,9
Dell,2300000,Bogor,5.0,5
Apple,4500000,Tangerang,4.9,30
Asus,1345000,Jakarta Barat,4.7,250
Lenovo,3712500,Jakarta Barat,4.8,30
Lenovo,2100000,Bandung,4.9,750
Lenovo,9949000,Jakarta Utara,4.9,100
Lenovo,5579000,Jakarta Utara,5.0,1000
Asus,5049000,Bandung,5.0,6
Asus,7499000,Jakarta Utara,4.8,500
Lenovo,3300000,Jakarta Barat,4.8,70
Apple,4450000,Jakarta Pusat,5.0,17
Lenovo,4290000,Jakarta Utara,4.9,100
Lenovo,11449000,Jakarta Utara,4.9,750
Axioo,6399000,Jakarta Utara,5.0,250
Asus,13399000,Jakarta Utara,5.0,30
Asus,8149000,Jakarta Pusat,4.9,100
Hp,11299000,Jakarta Utara,4.9,100
Lenovo,14299000,Jakarta Barat,4.8,8
Lenovo,6949000,Jakarta Utara,5.0,100
Apple,5650000,Jakarta Pusat,5.0,30
Msi,9599000,Jakarta Selatan,4.9,27
Hp,11699000,Jakarta Selatan,5.0,24
Acer,1500000,Jakarta Pusat,4.9,80
Apple,3970000,Jakarta Selatan,5.0,28
Dell,1500000,Jakarta Barat,4.9,60
Asus,6949000,Jakarta Pusat,5.0,21
Asus,5700000,Tangerang,0,0
Dell,2300000,Jakarta Barat,4.6,100
Hp,4000000,Jakarta Barat,5.0,18
Asus,9349000,Jakarta Selatan,5.0,1
Lenovo,2000000,Jakarta Barat,4.9,500
Lenovo,9649000,Jakarta Utara,5.0,100
Lenovo,3185000,Jakarta Barat,4.7,100
Lenovo,6899000,Jakarta Utara,5.0,100
Hp,5339000,Jakarta Utara,5.0,100
Lenovo,6949000,Jakarta Utara,5.0,100
Asus,9349000,Jakarta Utara,5.0,2
Dell,5499000,Jakarta Pusat,5.0,60
Asus,8449000,Jakarta Utara,5.0,90
Axioo,5699000,Jakarta Barat,5.0,10
Lenovo,14650890,Jakarta Selatan,0,1
Asus,7099000,Jakarta Pusat,5.0,30
Lenovo,4379000,Jakarta Pusat,5.0,100
Asus,14550000,Bandung,4.8,7
Asus,3849000,Jakarta Pusat,4.9,500
Asus,8149000,Surabaya,5.0,30
Axioo,4399000,Jakarta Utara,5.0,90
Apple,8000000,Jakarta Selatan,5.0,3
Lenovo,6890000,Jakarta Barat,5.0,12
Asus,6849000,Jakarta Utara,5.0,500
Hp,4490000,Jakarta Pusat,5.0,40
Lenovo,5000000,Jakarta Pusat,4.9,100
Hp,9699000,Jakarta Pusat,5.0,2
Axioo,4199000,Jakarta Selatan,4.9,250
Asus,9699000,Jakarta Utara,4.9,100
