Name,Price,Location,Rating,Sold
Laptop Lenovo Thinkpad x1 Yoga 5 i7 gen 10 16gb/512gb Free Tas/Mouse,Rp3.500.000,Jakarta Barat,4.8,50+ terjual
ASUS Vivobook Go 14 E1404FA-AMD Ryzen 3 7320U-8GB-256GB SSD-14inch-WIN11+OHS,Rp5.899.000,Jakarta Pusat,5.0,30+ terjual
Laptop Dell Latitude 7300 Core i7 Gen 8 RAM 16GB SSD 512GB FREE TAS,Rp2.300.000,Jakarta Barat,4.7,500+ terjual
LAPTOP LENOVO THINKPAD X1 CARBON i7 GEN8 RAM 16 GB SSD 1 TB TOUCH GOOD,Rp3.490.000,Jakarta Utara,5.0,1rb+ terjual
Asus VIVOBOOK GO E1404FA RYZEN 3 7320 8gb 512ssd W11+OHS FHD SLV-FHD35,Rp5.959.000,Surabaya,5.0,40+ terjual
SPEK TINGGI ! Laptop DELL Latitude 7490 Core i7 8TH RAM 32GB/512GB SSD,Rp3.400.000,Jakarta Barat,4.8,100+ terjual
Thinkpad T480 Core i7 16GB 512GB / ThinkPad T480 Core i5 / thinkpad T480,Rp2.550.000,Jakarta Pusat,4.9,2rb+ terjual
PROMO !! LAPTOP LENOVO TOUCHSCREEN T470s CORE i7 GEN 7 RAM 8GB/256 SSD,Rp2.000.000,Jakarta Barat,4.8,250+ terjual
LAPTOP LENOVO Thinkpad X1 YOGA 4th INTEL CORE i7 GENERASI 8 RAM 16GB /1TB SSD,Rp1.730.000,Jakarta Barat,5.0,40+ terjual
Lenovo ThinkPad T480s Core i7-8650U 24GB RAM 512GB NVMe SSD TC FULL HD,Rp2.000.000,Jakarta Barat,4.8,1rb+ terjual
ASUS VivoBook 15 i7-1255U-i5-1235U 8GB/16GB 512GB W11 15.6FHD 60Hz /F1504ZA /F1605ZA/F1502ZA,Rp7.499.000,Jakarta Utara,5.0,70+ terjual
Laptop Intel Core i9 10885H Laptop 16.1+14Inch Dual Screen Laptops 14 Inch Touch Screen Win 11 Business Office Notebook Laptop Computer,Rp10.150.000,Jakarta Barat,5.0,7 terjual
Laptop Lenovo Thinkpad T490 T490s Core i5 i7 8th 16GB 512GB,Rp2.475.000,Jakarta Barat,4.9,250+ terjual
"Laptop MSI Modern 14 C12MO i5-1235U/i7-1255U/i3-1215U 8GB/16GB 256GB/512GB 14"" FHD IPS Win 11",Rp5.299.000,Jakarta Utara,5.0,16 terjual
ASUS TUF A15 RYZEN 7 7435HS RTX4060 RTX4050 RTX3050 RTX2050 32GB 1TB SSD W11+OHS 15.6FHD 144HZ 100SRGB - FA507NUR FA506NCR FA506NFR FA507NVR LAPTOP GAMING,Rp9.849.000,Jakarta Utara,4.9,250+ terjual
"Apple Macbook Air M4 13"" inch - Garansi Resmi Apple Indonesia iBox",Rp15.999.000,Jakarta Utara,5.0,250+ terjual
ULTRABOOK DELL 7390 i5-8350u /16GB RAM /SSD 512GB / THUNDERBOLT / FHD,Rp2.350.000,Bogor,5.0,18 terjual
Apple MacBook Air 2020 Retina 13 inch core i3 Ram 8 GB SSD 128/256GB second murah bergaransi,Rp5.450.000,Jakarta Pusat,5.0,16 terjual
"LAPTOP HP EliteBook 830/840 G5 Core i5-8TH /RAM 32GB/ SSD 1TB 14""",Rp3.250.000,Jakarta Barat,4.9,100+ terjual
ASUS VIVOBOOK GO 14 E410KA N4500 8GB 512GB W11+OHS 14.0FHD BLIT BLU -FHD455 /BLK -FHD454,Rp4.899.000,Surabaya,5.0,9 terjual
DELL XPS 13 9360 i5-7300U / 8GB RAM / 512GB SSD / TOUCHSCREEN / RESOLUSI 3K,Rp2.300.000,Bogor,5.0,5 terjual
Macbook pro retina 2017 i7 / i5 16/512 13 inch super murah,Rp4.500.000,Tangerang,4.9,30+ terjual
PROMO !! LAPTOP ASUS X441 RAM (8GB/1TB - 8GB/512GB SSD) FREE MOUSE/TAS,Rp1.345.000,Jakarta Barat,4.7,250+ terjual
Laptop Lenovo Thinkpad X1 YOGA Core i7 Gen 8 Ram 16GB SSD 256GB 14 inch FHD,Rp3.712.500,Jakarta Barat,4.8,30+ terjual
Laptop Lenovo ThinkPad T470 T480 T490 T14 Core i7 Ram 32gb Ssd 1Tb Laptop,Rp2.100.000,Bandung,4.9,750+ terjual
LAPTOP LENOVO LOQ 15 I5 12450HX 20GB 12GB 1TB 512GB SSD RTX3050 RTX2050 W11+OHS 144HZ 100SRGB BLIT 2Y+ADP,Rp9.949.000,Jakarta Utara,4.9,100+ terjual
Lenovo Ideapad Slim 3 Core i3 1215U 8GB 512SSD FHD 14 Inch Windows 11 OHS 14IAU7 FNID,Rp5.579.000,Jakarta Utara,5.0,1rb+ terjual
